car_id,date,dealer_name,dealer_region,company_id,model,engine,transmission,color,body_style,price_$
C_CND_000293,2022-01-30,Ryder Truck Rental and Leasing,Middletown,CMP_021,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback,17000
C_CND_000744,2022-03-05,Pitre Buick-Pontiac-Gmc of Scottsdale,Pasco,CMP_007,Cavalier,Overhead Camshaft,Manual,Pale White,SUV,20000
C_CND_001045,2022-03-19,Diehl Motor CO Inc,Greenville,CMP_009,Sable,Double Overhead Camshaft,Auto,Pale White,Sedan,26000
C_CND_001566,2022-04-11,Race Car Help,Austin,CMP_001,Contour,Double Overhead Camshaft,Auto,Pale White,Sedan,62001
C_CND_002118,2022-04-30,Suburban Ford,Janesville,CMP_018,Passat,Overhead Camshaft,Manual,Red,Hatchback,20000
C_CND_002277,2022-05-07,Motor Vehicle Branch Office,Austin,CMP_025,Continental,Overhead Camshaft,Manual,Black,Passenger,18000
C_CND_002513,2022-05-17,Race Car Help,Austin,CMP_021,E-Class,Double Overhead Camshaft,Auto,Pale White,Sedan,31000
C_CND_002519,2022-05-17,Tri-State Mack Inc,Austin,CMP_016,A4,Double Overhead Camshaft,Auto,Black,Hatchback,27000
C_CND_002661,2022-05-26,Hatfield Volkswagen,Pasco,CMP_016,A6,Overhead Camshaft,Manual,Pale White,SUV,13501
C_CND_002723,2022-05-28,Capitol KIA,Greenville,CMP_014,Passport,Overhead Camshaft,Manual,Pale White,Hatchback,27000
C_CND_002853,2022-05-31,Saab-Belle Dodge,Aurora,CMP_001,Expedition,Double Overhead Camshaft,Auto,Black,SUV,41001
C_CND_003013,2022-06-08,Gartner Buick Hyundai Saab,Greenville,CMP_020,LS,Double Overhead Camshaft,Auto,Pale White,Sedan,51000
C_CND_003059,2022-06-09,Race Car Help,Austin,CMP_010,323i,Overhead Camshaft,Manual,Red,Hatchback,21000
C_CND_003410,2022-06-22,Progressive Shippers Cooperative Association No,Middletown,CMP_016,A8,Overhead Camshaft,Manual,Black,Passenger,44000
C_CND_003417,2022-06-23,New Castle Ford Lincoln Mercury,Aurora,CMP_010,528i,Double Overhead Camshaft,Auto,Pale White,SUV,62000
C_CND_003683,2022-07-04,Classic Chevy,Aurora,CMP_017,Carrera Coupe,Double Overhead Camshaft,Auto,Red,Hatchback,22500
C_CND_003768,2022-07-09,Enterprise Rent A Car,Aurora,CMP_009,Mountaineer,Double Overhead Camshaft,Auto,Pale White,SUV,21000
C_CND_003790,2022-07-09,Scrivener Performance Engineering,Greenville,CMP_021,S-Class,Double Overhead Camshaft,Auto,Black,SUV,39000
C_CND_004275,2022-07-31,Rabun Used Car Sales,Scottsdale,CMP_019,Park Avenue,Overhead Camshaft,Manual,Black,Hatchback,29250
C_CND_004350,2022-08-06,Enterprise Rent A Car,Aurora,CMP_005,TL,Double Overhead Camshaft,Auto,Black,Hatchback,28000
C_CND_004415,2022-08-08,Ryder Truck Rental and Leasing,Middletown,CMP_009,Villager,Overhead Camshaft,Manual,Pale White,Passenger,14000
C_CND_004787,2022-08-21,Classic Chevy,Scottsdale,CMP_010,323i,Overhead Camshaft,Manual,Red,Hatchback,21100
C_CND_005029,2022-08-28,Pars Auto Sales,Greenville,CMP_005,TL,Double Overhead Camshaft,Auto,Black,Hatchback,28000
C_CND_005042,2022-08-28,Hatfield Volkswagen,Austin,CMP_022,S-Type,Overhead Camshaft,Manual,Pale White,Passenger,20500
C_CND_005064,2022-08-31,McKinney Dodge Chrysler Jeep,Scottsdale,CMP_009,Cougar,Overhead Camshaft,Manual,Red,Hatchback,22000
